City,Country,Lat,Lng,Humidity,Hotel Name
cabo san lucas,MX,22.8909,-109.9124,70,
tiksi,RU,71.6872,128.8694,83,
hawaiian paradise park,US,19.5933,-154.9731,98,
antonio enes,MZ,-16.2325,39.9086,68,
port-aux-francais,TF,-49.35,70.2167,78,
palikir - national government center,FM,6.9248,158.1611,83,
akureyri,IS,65.6835,-18.0878,86,
lompoc,US,34.6391,-120.4579,68,
igarka,RU,67.4667,86.5833,89,
maridi,SS,4.9158,29.4742,88,
punta arenas,CL,-53.15,-70.9167,81,
ribas do rio pardo,BR,-20.4431,-53.7592,69,
puerto ayora,EC,-0.7393,-90.3518,88,
port mathurin,MU,-19.6833,63.4167,81,
ghadamis,LY,30.1337,9.5007,7,
la foa,NC,-21.7108,165.8276,78,
adamstown,PN,-25.066,-130.1015,66,
puerto natales,CL,-51.7236,-72.4875,57,
singkil,ID,-7.9855,111.4161,91,
constantia,RO,44.1833,28.65,65,
udachny,RU,66.4167,112.4,94,
aasiaat,GL,68.7098,-52.8699,69,
ribeira grande,PT,38.5167,-28.7,55,
shar,KZ,49.5886,81.0453,61,
touros,BR,-5.1989,-35.4608,72,
hadibu,YE,12.65,54.0333,71,
dudinka,RU,69.4058,86.1778,96,
utrik,MH,11.2278,169.8474,75,
canutama,BR,-6.5339,-64.3831,60,
edinburgh of the seven seas,SH,-37.0676,-12.3116,65,
haiku-pauwela,US,20.9219,-156.3051,83,
severo-yeniseyskiy,RU,60.3725,93.0408,91,
goba,ET,7.0167,39.9833,85,
polyarnyy,RU,69.1989,33.4478,70,
lospalos,TL,-8.5186,127.0025,96,
susuman,RU,62.7833,148.1667,96,
albany,US,42.6001,-73.9662,68,
panama city beach,US,30.1766,-85.8055,84,
nova sintra,CV,14.8667,-24.7167,75,
tartouss,SY,34.889,35.8866,65,
nuuk,GL,64.1835,-51.7216,69,
jamestown,US,42.097,-79.2353,100,
thompson,CA,55.7435,-97.8558,71,
isafjordur,IS,66.0755,-23.124,83,
aykhal,RU,66.0,111.5,99,
portage la prairie,CA,49.9728,-98.2926,56,
polyany,RU,54.7122,39.8231,80,
baiyin,CN,36.5583,104.2081,55,
metlili chaamba,DZ,32.2667,3.6333,17,
kodiak,US,57.79,-152.4072,60,
happy valley-goose bay,CA,53.3168,-60.3315,65,
veinticinco de mayo,AR,-35.4323,-60.1727,51,
ismailia,EG,30.6043,32.2723,31,
santa ana hueytlalpan,MX,20.1833,-98.3,23,
bredasdorp,ZA,-34.5322,20.0403,51,
uturoa,PF,-16.7333,-151.4333,78,
port alfred,ZA,-33.5906,26.891,67,
yellowknife,CA,62.456,-114.3525,78,
beauvais,FR,49.4167,2.0,74,
lerwick,GB,60.1545,-1.1494,79,
grytviken,GS,-54.2811,-36.5092,63,
kidatu,TZ,-7.6992,36.9572,95,
mariental,,-24.6333,17.9667,52,
antsiranana,MG,-12.2787,49.2917,79,
prince rupert,CA,54.3161,-130.3201,87,
klyuchi,RU,52.2667,79.1667,97,
claveria,PH,18.6074,121.0832,87,
blackmans bay,AU,-43.0167,147.3167,89,
margaret river,AU,-33.95,115.0667,66,
papatowai,NZ,-46.5619,169.4708,80,
alice springs,AU,-23.7,133.8833,88,
talnakh,RU,69.4865,88.3972,98,
iqaluit,CA,63.7506,-68.5145,68,
alofi,NU,-19.0595,-169.9187,94,
kathu,TH,7.9178,98.3332,78,
olonkinbyen,SJ,70.9221,-8.7187,63,
waitangi,NZ,-43.9535,-176.5597,97,
tuy hoa,VN,13.0833,109.3,89,
vila franca do campo,PT,37.7167,-25.4333,54,
hithadhoo,MV,-0.6,73.0833,73,
ola,RU,59.5833,151.2833,76,
parang,PH,7.3704,124.2697,86,
ilulissat,GL,69.2167,-51.1,50,
uliastay,MN,47.7417,96.8444,87,
tokar,SD,18.4254,37.729,72,
atafu village,TK,-8.5421,-172.5159,75,
corbelia,BR,-24.7989,-53.3067,34,
kiunga,PG,-6.1219,141.2906,100,
stanley,GB,54.868,-1.6985,69,
colares,PT,38.7992,-9.4469,72,
grand gaube,MU,-20.0064,57.6608,91,
yaren,NR,-0.5472,166.916,81,
afaahiti,PF,-17.75,-149.2833,85,
rundu,,-17.9333,19.7667,66,
banda aceh,ID,5.5577,95.3222,79,
cunit,ES,41.1983,1.6365,81,
kargasok,RU,59.0556,80.8572,80,
krasnaya gorbatka,RU,55.8703,41.7641,90,
kohat,PK,33.582,71.4493,49,
justo daract,AR,-33.8594,-65.1828,37,
al kharijah,EG,25.4514,30.5464,17,
georgetown,MY,5.4112,100.3354,89,
dodoma,TZ,-6.1722,35.7395,75,
whitehorse,CA,60.7161,-135.0538,86,
pamandzi,YT,-12.7967,45.2794,70,
toliara,MG,-23.35,43.6667,57,
hermanus,ZA,-34.4187,19.2345,70,
port elizabeth,ZA,-33.918,25.5701,54,
n'dalatando,AO,-9.2978,14.9116,78,
dunedin,NZ,-45.8742,170.5036,99,
sao jose da coroa grande,BR,-8.8978,-35.1478,72,
zhanaozen,KZ,43.3,52.8,35,
new norfolk,AU,-42.7826,147.0587,98,
knyaze-volkonskoye,RU,48.4642,135.4567,68,
mramani,KM,-12.3464,44.5286,74,
luderitz,,-26.6481,15.1594,75,
al ghayzah,YE,16.2079,52.176,58,
kamaishi,JP,39.2667,141.8833,69,
usogorsk,RU,63.4106,48.6872,100,
petauke,ZM,-14.2426,31.3253,55,
undurkhaan,MN,47.3194,110.6556,82,
muar,MY,2.0442,102.5689,84,
chiang kham,TH,19.5233,100.3,26,
west island,CC,-12.1568,96.8225,83,
lodeynoye pole,RU,60.726,33.5531,95,
albertina,BR,-22.2008,-46.6158,46,
luis correia,BR,-2.8792,-41.6669,62,
san luis de la loma,MX,17.2706,-100.8939,46,
trinidad,BO,-14.8333,-64.9,79,
kalmunai,LK,7.4167,81.8167,75,
invercargill,NZ,-46.4,168.35,71,
nar'yan-mar,RU,67.6713,53.087,87,
saint-pierre,RE,-21.3393,55.4781,78,
vernon,CA,50.2581,-119.2691,84,
gaomi,CN,36.3833,119.7528,53,
philadelphia,US,39.9523,-75.1638,68,
kaedi,MR,16.1465,-13.5047,11,
kirakira,SB,-10.4544,161.9205,87,
queenstown,ZA,-31.8976,26.8753,25,
puquio,PE,-14.7,-74.1333,57,
rio grande,BR,-32.035,-52.0986,64,
impfondo,CG,1.6381,18.0667,82,
cam ranh,VN,11.9214,109.1591,78,
lauro de freitas,BR,-12.8944,-38.3272,66,
chui,UY,-33.6971,-53.4616,69,
al mijlad,SD,11.0333,27.7333,6,
ushuaia,AR,-54.8,-68.3,87,
kerikeri,NZ,-35.2268,173.9474,90,
camana,PE,-16.6228,-72.7111,74,
bethel,US,41.3712,-73.414,45,
formosa do rio preto,BR,-11.0483,-45.1931,43,
maues,BR,-3.3836,-57.7186,57,
petropavlovsk-kamchatsky,RU,53.0452,158.6483,88,
yerofey pavlovich,RU,53.9667,121.9667,95,
sitka,US,57.0531,-135.33,70,
ta`u,AS,-14.2336,-169.5144,80,
san juan de miraflores,PE,-12.1629,-76.9635,78,
preston,GB,53.7667,-2.7167,64,
mugia,ES,43.1041,-9.2179,77,
guarapari,BR,-20.6667,-40.4975,88,
islamkot,PK,24.6997,70.177,37,
bayanaul,KZ,50.7889,75.6956,73,
nouadhibou,MR,20.931,-17.0347,53,
