City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
19,constantia,44.1833,28.65,70.7,65,86,9.04,RO,1711895724
39,tartouss,34.889,35.8866,72.21,65,87,3.31,SY,1711895737
53,santa ana hueytlalpan,20.1833,-98.3,72.52,23,65,3.04,MX,1711895745
119,petauke,-14.2426,31.3253,75.96,55,94,9.04,ZM,1711895785
125,albertina,-22.2008,-46.6158,78.39,46,17,4.9,BR,1711895787
176,mianyang,31.4593,104.7542,70.97,55,100,1.54,CN,1711895634
194,fort bragg,35.139,-79.006,77.2,46,0,4.61,US,1711895823
211,pacocha,-17.5833,-71.3333,74.57,70,99,7.02,PE,1711895835
226,tura,25.5198,90.2201,78.76,35,0,3.4,IN,1711895843
237,bolanikhodan,22.1,85.3167,78.06,45,77,5.39,IN,1711895852
246,san jose de jachal,-30.2406,-68.7469,71.65,25,0,5.26,AR,1711895856
265,chilapa de alvarez,17.6,-99.1667,77.49,39,5,1.68,MX,1711895863
280,greenville,35.6127,-77.3663,74.14,46,0,4.0,US,1711895871
293,puerto escondido,15.85,-97.0667,79.63,61,0,3.44,MX,1711895878
309,aldama,22.9167,-98.0667,78.8,66,86,9.44,MX,1711895885
365,korocha,50.8107,37.1953,72.32,55,1,7.94,RU,1711895919
399,kuruman,-27.4524,23.4325,77.32,36,94,7.67,ZA,1711895943
401,kosmach,48.7509,24.3673,70.32,41,76,6.38,UA,1711895944
410,castanos,26.7833,-101.4167,75.92,46,84,3.76,MX,1711895751
432,'alaqahdari dishu,30.4374,63.313,71.94,11,100,6.85,AF,1711895958
441,calingasta,-31.3308,-69.4078,77.29,29,0,1.68,AR,1711895964
512,kurchatov,51.6601,35.6521,72.01,61,16,8.97,RU,1711895998
550,chios,38.3678,26.1358,73.26,49,0,4.61,GR,1711896012
556,tomatlan,19.9333,-105.25,77.76,38,12,2.57,MX,1711896014
557,san pablo villa de mitla,16.9167,-96.4,75.74,42,1,2.01,MX,1711896014
570,parras de la fuente,25.4167,-102.1833,72.81,15,77,6.49,MX,1711895957
